,CPUBID,MPUBID,CRACE,CSEX,CMOB,CYRB,MATHZ,year,MATHP,MATH,COMP,COMPZ,COMPP,RECOG,RECOGZ,RECOGP,HOMEZ,HOMEP,COGNZ,COGNP,EMOTZ,EMOTP,AGECH,AFQTP,TNFI,DIVORCE,NUM_CHILDREN
0,801,8,3,2,3,1976,108,1986,71,48,55,119,90,55,116,86,126.4,96,125.2,95,114.7,84,120,42,24200.0,0,3
1,802,8,3,1,5,1979,125,1986,95,41,21,104,60,22,101,53,110.9,77,106.0,66,111.9,79,81,42,23350.0,0,3
2,8601,86,2,2,11,1977,108,1986,70,40,46,120,91,49,120,91,99.7,50,105.6,66,92.8,32,100,3,5316.0,0,1
3,9601,96,3,2,10,1980,135,1986,99,25,22,135,99,22,135,99,126.0,96,119.4,90,123.1,94,65,32,14000.0,0,1
4,22402,224,2,2,12,1977,122,1986,93,48,37,108,71,48,118,89,99.7,50,93.5,34,106.2,66,99,15,5880.0,0,3
5,22403,224,2,1,1,1979,101,1986,52,25,26,105,63,25,102,56,102.6,58,98.0,45,105.1,63,87,15,,0,3
6,22701,227,2,2,9,1975,82,1986,12,36,35,87,19,29,80,9,78.3,7,89.3,23,74.5,5,125,7,9513.333333333334,1,3
7,22702,227,2,2,8,1977,90,1986,26,27,39,108,71,39,107,69,76.5,6,81.4,10,79.4,8,102,7,9513.333333333334,1,3
8,24401,244,3,2,7,1975,125,1986,95,62,53,114,82,63,121,92,118.4,88,107.2,68,121.4,92,128,79,31873.0,0,2
9,24402,244,3,2,8,1979,117,1986,87,30,21,107,68,26,114,83,107.0,68,94.4,34,118.7,90,79,79,31873.0,0,2
10,25601,256,3,2,9,1980,116,1986,85,17,18,122,93,18,121,92,126.0,96,119.4,90,123.1,94,66,51,32000.0,0,1
11,25801,258,3,2,3,1980,106,1986,65,17,18,107,68,18,105,64,117.3,87,112.5,81,115.6,86,71,81,19746.0,0,3
12,29701,297,3,1,10,1978,113,1986,81,36,21,98,44,23,97,43,102.6,58,104.3,61,98.6,47,88,69,15000.0,0,1
13,33801,338,2,2,7,1980,86,1986,17,10,18,114,82,18,113,80,104.2,61,84.7,16,123.1,94,68,20,32200.0,0,2
14,34301,343,2,2,2,1978,88,1986,22,21,44,120,91,36,109,73,84.2,14,87.4,19,86.1,18,96,1,21000.0,0,1
15,37401,374,3,2,7,1980,109,1986,73,15,18,122,93,18,121,92,91.2,27,84.7,16,100.6,53,67,16,19000.0,0,3
16,39001,390,2,1,5,1979,85,1986,16,13,18,92,30,18,91,28,90.9,27,91.6,30,92.0,30,82,7,4646.0,0,1
17,39701,397,2,2,1,1976,84,1986,14,33,34,90,26,37,93,31,90.3,25,95.3,37,87.9,21,121,3,720.0,0,2
18,42501,425,3,2,1,1976,101,1986,52,44,54,118,88,50,108,71,110.4,75,101.3,53,114.7,84,122,44,35100.0,0,3
19,42502,425,3,1,10,1978,106,1986,66,29,41,120,91,43,122,93,102.6,58,85.2,16,118.1,88,89,44,35100.0,0,3
20,44201,442,3,2,9,1975,116,1986,86,55,57,119,90,61,120,91,110.4,75,113.2,81,101.3,53,124,56,43700.0,0,3
21,44202,442,3,1,2,1979,102,1986,56,24,22,103,58,24,103,59,98.7,47,104.3,61,92.0,30,84,56,43700.0,0,3
22,47801,478,3,1,11,1975,90,1986,26,40,42,97,43,43,98,44,114.4,82,113.2,81,108.0,70,124,42,58068.0,0,2
23,53002,530,3,1,9,1975,74,1986,4,30,43,96,39,36,86,17,82.3,12,77.4,6,94.6,37,129,8,6121.0,0,3
24,56301,563,3,2,12,1979,96,1986,39,14,18,102,56,18,101,52,83.6,14,82.8,13,91.4,27,74,42,90360.0,0,2
25,58502,585,3,1,6,1980,90,1986,26,11,18,114,82,18,113,80,91.2,27,98.6,47,85.7,18,70,23,30000.0,0,3
26,58801,588,3,2,9,1979,105,1986,64,22,19,102,54,21,102,55,68.0,2,76.9,6,70.8,3,78,2,10368.0,0,2
27,59001,590,3,2,4,1978,72,1986,3,12,29,102,56,29,100,51,68.8,2,63.2,1,86.1,18,95,-3,9760.0,0,4
28,59002,590,3,1,6,1979,84,1986,15,12,19,98,45,23,104,60,71.9,3,65.3,1,91.4,27,81,-3,9760.0,0,4
29,61401,614,1,2,3,1978,122,1986,93,47,42,116,86,45,118,88,107.4,68,99.6,50,112.9,81,96,22,21300.0,0,2
30,61901,619,3,2,12,1975,103,1986,58,46,48,107,67,49,105,63,98.3,45,107.2,68,87.9,21,123,50,36935.0,0,5
31,61903,619,3,2,3,1980,101,1986,53,15,18,107,68,18,105,64,91.4,27,94.4,34,91.4,27,72,50,36935.0,0,5
32,62301,623,2,2,12,1979,93,1986,31,13,18,102,56,18,101,52,91.4,27,94.4,34,91.4,27,76,16,6240.0,0,2
33,62701,627,3,2,8,1976,84,1986,14,29,27,84,15,24,77,6,115.1,84,113.3,81,111.4,77,114,87,74000.0,0,2
34,63201,632,3,2,3,1978,89,1986,24,22,41,115,84,26,96,39,115.2,84,117.8,88,106.2,66,96,4,15280.0,0,2
35,63501,635,3,1,8,1979,110,1986,74,25,28,118,88,26,114,83,110.9,77,100.2,50,118.7,90,78,61,38550.0,0,2
