,CPUBID,MPUBID,CRACE,CSEX,CMOB,CYRB,MATHZ,year,MATHP,MATH,COMP,COMPZ,COMPP,RECOG,RECOGZ,RECOGP,HOMEZ,HOMEP,COGNZ,COGNP,EMOTZ,EMOTP,AGECH
171,20501,205,1,2,8,1978,95,1986,38,23,23,99,47,23,94,35,104.2,61,104.3,61,-0.3,-3,91
174,20801,208,3,2,8,1975,82,1986,11,37,51,109,72,41,92,29,101.1,53,-0.3,-3,108.0,70,128
254,28501,285,1,2,10,1977,96,1986,40,29,36,107,69,39,110,74,98.5,47,-0.3,-3,112.9,81,101
267,29001,290,1,2,3,1979,99,1986,47,21,23,105,62,22,98,45,89.3,23,-0.3,-3,105.1,63,85
330,38201,382,2,2,4,1976,99,1986,47,43,53,116,86,57,118,89,-0.3,-3,-0.3,-3,-0.3,-3,120
464,53003,530,3,2,12,1977,105,1986,64,40,24,88,22,22,79,8,-0.3,-3,-0.3,-3,-0.3,-3,102
479,55001,550,3,2,7,1980,106,1986,66,14,18,122,93,18,121,92,103.3,58,-0.3,-3,108.1,70,67
505,58501,585,3,1,6,1979,88,1986,21,13,18,95,38,18,94,35,81.6,12,-0.3,-3,84.5,16,82
539,61902,619,3,2,7,1978,107,1986,68,32,34,113,80,45,121,92,89.3,23,-0.3,-3,79.0,8,92
617,70601,706,3,2,5,1976,98,1986,44,42,43,103,59,50,111,76,111.6,79,-0.3,-3,105.0,63,117
654,75501,755,1,2,7,1978,103,1986,57,28,22,97,42,22,91,28,93.2,32,-0.3,-3,98.6,47,90
866,99202,992,3,1,10,1979,111,1986,77,23,27,122,93,29,123,94,126.1,96,123.4,94,-0.3,-3,77
869,99502,995,3,1,12,1979,98,1986,45,14,18,107,68,18,105,64,93.7,34,88.6,23,-0.3,-3,74
877,100501,1005,3,1,11,1979,98,1986,46,15,18,102,56,18,101,52,114.0,82,-0.3,-3,111.9,79,76
1072,118901,1189,2,2,5,1975,109,1986,72,51,56,116,85,58,115,84,-0.3,-3,-0.3,-3,-0.3,-3,130
1073,118902,1189,2,1,4,1977,105,1986,62,41,37,103,59,42,108,71,-0.3,-3,-0.3,-3,-0.3,-3,107
1077,119901,1199,3,2,6,1977,93,1986,31,31,42,110,74,52,121,92,98.5,47,-0.3,-3,106.2,66,106
1087,120901,1209,2,1,3,1976,94,1986,35,41,39,95,38,40,97,41,-0.3,-3,-0.3,-3,-0.3,-3,120
1090,121001,1210,2,2,3,1975,82,1986,11,39,39,87,19,41,89,23,96.7,42,-0.3,-3,94.6,37,134
1091,121002,1210,2,2,1,1977,75,1986,5,21,36,98,44,28,86,17,81.8,12,-0.3,-3,73.2,4,112
1096,121201,1212,2,2,4,1974,96,1986,39,46,55,108,71,45,92,29,107.9,70,-0.3,-3,87.9,21,143
1123,122701,1227,2,1,9,1975,65,1986,1,22,32,85,16,38,90,26,58.2,0,-0.3,-3,81.2,10,127
1124,122702,1227,2,2,6,1977,74,1986,4,22,30,88,22,36,93,32,48.1,0,-0.3,-3,-0.3,-3,107
1130,123001,1230,3,1,3,1979,109,1986,73,29,21,101,52,25,106,65,115.2,84,-0.3,-3,-0.3,-3,83
1242,134301,1343,3,2,3,1980,87,1986,19,11,18,107,68,18,105,64,126.1,96,129.2,97,-0.3,-3,72
1306,140601,1406,1,2,7,1978,93,1986,33,23,30,106,66,49,123,94,100.3,50,-0.3,-3,111.6,79,94
1319,141401,1414,1,1,3,1976,93,1986,31,39,34,92,30,28,82,12,90.0,25,-0.3,-3,85.9,18,119
1320,141402,1414,1,2,4,1977,69,1986,2,14,22,82,11,25,85,16,86.2,18,-0.3,-3,86.1,18,106
1324,141501,1415,1,1,9,1977,87,1986,20,23,22,87,20,22,82,12,66.1,1,-0.3,-3,66.0,1,101
1384,146901,1469,3,1,6,1975,98,1986,46,45,48,104,60,56,113,81,79.5,9,-0.3,-3,-0.3,-3,128
1393,148201,1482,2,1,2,1976,92,1986,30,40,38,94,35,33,88,22,-0.3,-3,-0.3,-3,-0.3,-3,120
1394,148202,1482,2,2,9,1978,100,1986,50,26,26,103,57,30,107,68,81.1,10,-0.3,-3,-0.3,-3,89
1395,148203,1482,2,2,10,1979,93,1986,31,13,18,102,56,18,101,52,85.1,16,-0.3,-3,-0.3,-3,77
1517,161001,1610,3,2,3,1977,113,1986,81,48,37,99,47,38,99,47,103.8,61,-0.3,-3,-0.3,-3,106
1543,164801,1648,3,1,2,1979,87,1986,20,15,18,88,22,18,87,19,93.2,32,-0.3,-3,92.0,30,86
1663,176001,1760,2,1,6,1976,107,1986,67,47,46,106,65,53,113,81,-0.3,-3,-0.3,-3,-0.3,-3,119
1708,181601,1816,1,1,10,1978,102,1986,54,27,30,109,72,32,109,73,65.4,1,-0.3,-3,-0.3,-3,91
1823,192802,1928,3,1,6,1979,93,1986,33,14,18,99,47,18,98,44,77.7,7,-0.3,-3,105.0,63,80
1869,199401,1994,3,1,8,1979,105,1986,64,22,22,109,73,25,112,79,101.9,55,-0.3,-3,105.0,63,79
1921,205401,2054,3,2,9,1978,89,1986,23,18,27,104,61,26,102,54,105.3,63,-0.3,-3,98.6,47,90
1994,211901,2119,3,1,6,1976,122,1986,93,57,42,100,50,40,97,41,102.2,55,106.8,68,-0.3,-3,119
2123,225301,2253,2,1,11,1978,79,1986,8,12,18,88,22,18,87,19,52.5,0,-0.3,-3,65.9,1,87
2136,226501,2265,2,2,3,1978,103,1986,57,30,29,105,62,47,121,92,66.6,1,72.5,4,-0.3,-3,95
2188,230801,2308,3,2,8,1979,105,1986,62,21,32,123,94,30,119,90,85.5,18,-0.3,-3,98.2,45,79
2190,231101,2311,3,1,8,1976,96,1986,39,41,36,94,34,43,102,54,109.2,73,106.8,68,-0.3,-3,117
2210,234001,2340,3,1,2,1979,113,1986,81,36,26,105,63,25,102,56,93.2,32,-0.3,-3,79.0,8,86
2215,234701,2347,2,1,4,1979,95,1986,38,18,18,92,30,20,93,33,81.6,12,-0.3,-3,91.4,27,83
2265,240201,2402,3,1,7,1978,105,1986,62,32,40,116,85,34,109,73,57.2,0,-0.3,-3,-0.3,-3,92
2470,262901,2629,3,1,9,1977,105,1986,64,40,51,125,95,48,117,87,104.0,61,-0.3,-3,-0.3,-3,101
2510,266401,2664,1,1,9,1977,100,1986,51,36,22,84,15,31,98,45,74.2,4,81.4,10,-0.3,-3,102
