,CPUBID,MPUBID,CRACE,CSEX,CMOB,CYRB,MATHZ,year,MATHP,MATH,COMP,COMPZ,COMPP,RECOG,RECOGZ,RECOGP,HOMEZ,HOMEP,COGNZ,COGNP,EMOTZ,EMOTP,AGECH
385,43701,437,3,1,2,1981,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,99.4,47,98.4,45,100.5,53,59
859,97901,979,3,1,4,1981,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,116.5,87,117.6,88,108.5,73,59
902,103001,1030,2,1,1,1979,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,71.3,3,59.7,0,92.0,30,86
930,105702,1057,2,2,11,1976,-3,1986,-3,-3,38,100,49,26,82,12,99.5,50,113.3,81,85.9,18,111
1051,116801,1168,2,1,3,1981,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,112.2,79,111.2,77,108.5,73,59
1211,130801,1308,2,1,11,1977,-3,1986,-3,-3,18,75,5,20,77,6,80.4,9,87.4,19,79.4,8,100
1433,152501,1525,3,1,8,1976,-3,1986,-3,-3,-3,-3,-3,63,128,97,103.4,58,100.3,50,105.0,63,115
1764,186201,1862,3,1,10,1979,-3,1986,-3,-3,18,102,56,18,101,52,110.9,77,100.2,50,118.7,90,76
1866,199301,1993,3,1,4,1978,-3,1986,-3,-3,22,94,34,32,107,67,114.3,82,104.3,61,118.1,88,94
1957,207703,2077,3,1,9,1975,-3,1986,-3,-3,62,112,79,73,121,92,102.3,55,119.2,90,81.2,10,149
2041,216102,2161,3,1,3,1981,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,99.9,50,105.5,66,93.1,32,60
2256,239801,2398,3,2,12,1977,-3,1986,-3,-3,-3,-3,-3,30,99,47,99.7,50,99.6,50,99.5,50,99
2273,240501,2405,3,1,4,1981,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,112.2,79,111.2,77,108.5,73,59
