,CPUBID,MPUBID,CRACE,CSEX,CMOB,CYRB,MATHZ,year,MATHP,MATH,COMP,COMPZ,COMPP,RECOG,RECOGZ,RECOGP,HOMEZ,HOMEP,COGNZ,COGNP,EMOTZ,EMOTP,AGECH
44,5701,57,3,1,7,1979,131,1986,98,42,-3,-3,-3,-3,-3,-3,103.1,58,106.0,66,98.2,45,80
150,18001,180,3,1,5,1978,112,1986,78,39,-3,-3,-3,-3,-3,-3,122.2,93,123.4,94,111.6,79,95
183,22401,224,2,1,12,1974,101,1986,53,48,-3,-3,-3,58,112,78,102.3,55,95.3,37,108.0,70,136
385,43701,437,3,1,2,1981,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,99.4,47,98.4,45,100.5,53,59
412,47101,471,3,1,10,1979,105,1986,62,18,-3,-3,-3,23,112,78,91.4,27,94.4,34,91.4,27,76
422,47802,478,3,2,6,1978,102,1986,54,29,-3,-3,-3,-3,-3,-3,106.5,68,110.7,77,98.6,47,93
553,62702,627,3,2,12,1979,106,1986,65,19,-3,-3,-3,21,106,65,114.8,84,111.8,79,111.9,79,75
818,93201,932,3,2,8,1977,105,1986,64,40,-3,-3,-3,55,126,96,111.3,77,117.8,88,99.5,50,103
859,97901,979,3,1,4,1981,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,116.5,87,117.6,88,108.5,73,59
902,103001,1030,2,1,1,1979,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,71.3,3,59.7,0,92.0,30,86
930,105702,1057,2,2,11,1976,-3,1986,-3,-3,38,100,49,26,82,12,99.5,50,113.3,81,85.9,18,111
996,112301,1123,1,1,9,1977,74,1986,4,13,-3,-3,-3,19,74,4,122.9,94,111.7,79,126.3,96,100
1051,116801,1168,2,1,3,1981,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,112.2,79,111.2,77,108.5,73,59
1146,124101,1241,3,1,6,1980,107,1986,69,16,-3,-3,-3,-3,-3,-3,121.6,93,119.4,90,115.6,86,69
1211,130801,1308,2,1,11,1977,-3,1986,-3,-3,18,75,5,20,77,6,80.4,9,87.4,19,79.4,8,100
1285,139101,1391,2,1,10,1977,96,1986,40,29,-3,-3,-3,29,97,43,80.4,9,87.4,19,79.4,8,100
1315,141001,1410,3,1,7,1980,109,1986,73,15,-3,-3,-3,23,135,99,117.3,87,105.5,66,123.1,94,67
1331,141601,1416,3,1,7,1979,107,1986,68,25,-3,-3,-3,19,95,38,118.7,90,117.6,88,111.9,79,82
1433,152501,1525,3,1,8,1976,-3,1986,-3,-3,-3,-3,-3,63,128,97,103.4,58,100.3,50,105.0,63,115
1472,155902,1559,3,2,1,1979,88,1986,21,14,-3,-3,-3,19,92,30,94.8,37,104.3,61,85.5,18,86
1648,174901,1749,2,2,2,1980,69,1986,2,7,-3,-3,-3,21,106,65,118.7,90,123.4,94,105.0,63,73
1652,175401,1754,2,2,5,1979,114,1986,82,30,-3,-3,-3,20,97,42,122.6,94,123.4,94,111.9,79,81
1676,177801,1778,3,2,8,1979,110,1986,74,25,-3,-3,-3,25,112,79,95.3,37,88.6,23,105.0,63,78
1764,186201,1862,3,1,10,1979,-3,1986,-3,-3,18,102,56,18,101,52,110.9,77,100.2,50,118.7,90,76
1866,199301,1993,3,1,4,1978,-3,1986,-3,-3,22,94,34,32,107,67,114.3,82,104.3,61,118.1,88,94
1957,207703,2077,3,1,9,1975,-3,1986,-3,-3,62,112,79,73,121,92,102.3,55,119.2,90,81.2,10,149
2041,216102,2161,3,1,3,1981,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,99.9,50,105.5,66,93.1,32,60
2127,226001,2260,2,2,9,1980,88,1986,21,10,-3,-3,-3,19,126,96,99.9,50,98.6,47,100.6,53,67
2163,228102,2281,3,1,7,1979,108,1986,71,26,-3,-3,-3,19,95,38,99.2,47,94.4,34,105.0,63,82
2200,231901,2319,3,2,3,1978,109,1986,73,39,-3,-3,-3,28,99,47,94.8,37,104.3,61,85.5,18,95
2232,236801,2368,3,1,4,1980,118,1986,89,23,-3,-3,-3,26,131,98,99.9,50,91.6,30,108.1,70,70
2256,239801,2398,3,2,12,1977,-3,1986,-3,-3,-3,-3,-3,30,99,47,99.7,50,99.6,50,99.5,50,99
2273,240501,2405,3,1,4,1981,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,112.2,79,111.2,77,108.5,73,59
2354,248801,2488,3,2,7,1975,108,1986,71,50,-3,-3,-3,-3,-3,-3,122.4,93,119.2,90,114.7,84,128
2355,248802,2488,3,1,12,1977,92,1986,30,26,-3,-3,-3,-3,-3,-3,115.2,84,117.8,88,106.2,66,98
2356,248803,2488,3,1,11,1979,98,1986,46,15,-3,-3,-3,-3,-3,-3,114.8,84,117.6,88,105.0,63,76
2369,250501,2505,3,2,3,1976,122,1986,93,57,-3,-3,-3,-3,-3,-3,87.7,21,87.2,19,92.3,30,119
2386,252302,2523,3,2,8,1980,126,1986,96,24,-3,-3,-3,-3,-3,-3,117.3,87,119.4,90,108.1,70,66
2391,252801,2528,3,1,7,1977,97,1986,43,33,-3,-3,-3,34,102,55,122.9,94,111.7,79,126.3,96,104
2405,253604,2536,3,2,3,1981,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,125.0,95,117.6,88,124.4,95,59
2570,272002,2720,2,1,9,1977,-3,1986,-3,-3,-3,-3,-3,38,106,66,99.7,50,87.4,19,112.9,81,102
2583,273701,2737,3,1,9,1980,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,104.2,61,105.5,66,100.6,53,65
2590,274201,2742,3,2,12,1977,105,1986,64,38,-3,-3,-3,-3,-3,-3,111.3,77,99.6,50,119.6,91,101
2595,274601,2746,3,2,10,1976,-3,1986,-3,-3,-3,-3,-3,55,121,92,115.1,84,113.3,81,111.4,77,112
2600,275202,2752,3,2,6,1977,95,1986,36,33,-3,-3,-3,-3,-3,-3,115.2,84,117.8,88,106.2,66,105
2606,275701,2757,3,2,6,1975,100,1986,50,46,-3,-3,-3,-3,-3,-3,78.3,7,59.4,0,108.0,70,129
2620,277501,2775,3,1,4,1980,106,1986,65,17,-3,-3,-3,20,109,72,108.6,73,112.5,81,100.6,53,71
2641,279503,2795,2,2,3,1981,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,82.3,12,85.6,18,84.6,16,59
