,CPUBID,MPUBID,CRACE,CSEX,CMOB,CYRB,MATHZ,year,MATHP,MATH,COMP,COMPZ,COMPP,RECOG,RECOGZ,RECOGP,HOMEZ,HOMEP,COGNZ,COGNP,EMOTZ,EMOTP,AGECH
7,801,8,3,2,3,1976,108,1986,71,48,55,119,90,55,116,86,126.4,96,125.2,95,114.7,84,120
8,802,8,3,1,5,1979,125,1986,95,41,21,104,60,22,101,53,110.9,77,106.0,66,111.9,79,81
44,5701,57,3,1,7,1979,131,1986,98,42,-3,-3,-3,-3,-3,-3,103.1,58,106.0,66,98.2,45,80
65,8601,86,2,2,11,1977,108,1986,70,40,46,120,91,49,120,91,99.7,50,105.6,66,92.8,32,100
74,9601,96,3,2,10,1980,135,1986,99,25,22,135,99,22,135,99,126.0,96,119.4,90,123.1,94,65
150,18001,180,3,1,5,1978,112,1986,78,39,-3,-3,-3,-3,-3,-3,122.2,93,123.4,94,111.6,79,95
171,20501,205,1,2,8,1978,95,1986,38,23,23,99,47,23,94,35,104.2,61,104.3,61,-0.3,-3,91
174,20801,208,3,2,8,1975,82,1986,11,37,51,109,72,41,92,29,101.1,53,-0.3,-3,108.0,70,128
183,22401,224,2,1,12,1974,101,1986,53,48,-3,-3,-3,58,112,78,102.3,55,95.3,37,108.0,70,136
184,22402,224,2,2,12,1977,122,1986,93,48,37,108,71,48,118,89,99.7,50,93.5,34,106.2,66,99
185,22403,224,2,1,1,1979,101,1986,52,25,26,105,63,25,102,56,102.6,58,98.0,45,105.1,63,87
186,22701,227,2,2,9,1975,82,1986,12,36,35,87,19,29,80,9,78.3,7,89.3,23,74.5,5,125
187,22702,227,2,2,8,1977,90,1986,26,27,39,108,71,39,107,69,76.5,6,81.4,10,79.4,8,102
207,24401,244,3,2,7,1975,125,1986,95,62,53,114,82,63,121,92,118.4,88,107.2,68,121.4,92,128
208,24402,244,3,2,8,1979,117,1986,87,30,21,107,68,26,114,83,107.0,68,94.4,34,118.7,90,79
231,25601,256,3,2,9,1980,116,1986,85,17,18,122,93,18,121,92,126.0,96,119.4,90,123.1,94,66
233,25801,258,3,2,3,1980,106,1986,65,17,18,107,68,18,105,64,117.3,87,112.5,81,115.6,86,71
254,28501,285,1,2,10,1977,96,1986,40,29,36,107,69,39,110,74,98.5,47,-0.3,-3,112.9,81,101
267,29001,290,1,2,3,1979,99,1986,47,21,23,105,62,22,98,45,89.3,23,-0.3,-3,105.1,63,85
276,29701,297,3,1,10,1978,113,1986,81,36,21,98,44,23,97,43,102.6,58,104.3,61,98.6,47,88
298,33801,338,2,2,7,1980,86,1986,17,10,18,114,82,18,113,80,104.2,61,84.7,16,123.1,94,68
304,34301,343,2,2,2,1978,88,1986,22,21,44,120,91,36,109,73,84.2,14,87.4,19,86.1,18,96
324,37401,374,3,2,7,1980,109,1986,73,15,18,122,93,18,121,92,91.2,27,84.7,16,100.6,53,67
330,38201,382,2,2,4,1976,99,1986,47,43,53,116,86,57,118,89,-0.3,-3,-0.3,-3,-0.3,-3,120
340,39001,390,2,1,5,1979,85,1986,16,13,18,92,30,18,91,28,90.9,27,91.6,30,92.0,30,82
349,39701,397,2,2,1,1976,84,1986,14,33,34,90,26,37,93,31,90.3,25,95.3,37,87.9,21,121
374,42501,425,3,2,1,1976,101,1986,52,44,54,118,88,50,108,71,110.4,75,101.3,53,114.7,84,122
375,42502,425,3,1,10,1978,106,1986,66,29,41,120,91,43,122,93,102.6,58,85.2,16,118.1,88,89
385,43701,437,3,1,2,1981,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,99.4,47,98.4,45,100.5,53,59
391,44201,442,3,2,9,1975,116,1986,86,55,57,119,90,61,120,91,110.4,75,113.2,81,101.3,53,124
392,44202,442,3,1,2,1979,102,1986,56,24,22,103,58,24,103,59,98.7,47,104.3,61,92.0,30,84
412,47101,471,3,1,10,1979,105,1986,62,18,-3,-3,-3,23,112,78,91.4,27,94.4,34,91.4,27,76
421,47801,478,3,1,11,1975,90,1986,26,40,42,97,43,43,98,44,114.4,82,113.2,81,108.0,70,124
422,47802,478,3,2,6,1978,102,1986,54,29,-3,-3,-3,-3,-3,-3,106.5,68,110.7,77,98.6,47,93
463,53002,530,3,1,9,1975,74,1986,4,30,43,96,39,36,86,17,82.3,12,77.4,6,94.6,37,129
464,53003,530,3,2,12,1977,105,1986,64,40,24,88,22,22,79,8,-0.3,-3,-0.3,-3,-0.3,-3,102
479,55001,550,3,2,7,1980,106,1986,66,14,18,122,93,18,121,92,103.3,58,-0.3,-3,108.1,70,67
490,56301,563,3,2,12,1979,96,1986,39,14,18,102,56,18,101,52,83.6,14,82.8,13,91.4,27,74
505,58501,585,3,1,6,1979,88,1986,21,13,18,95,38,18,94,35,81.6,12,-0.3,-3,84.5,16,82
506,58502,585,3,1,6,1980,90,1986,26,11,18,114,82,18,113,80,91.2,27,98.6,47,85.7,18,70
510,58801,588,3,2,9,1979,105,1986,64,22,19,102,54,21,102,55,68.0,2,76.9,6,70.8,3,78
516,59001,590,3,2,4,1978,72,1986,3,12,29,102,56,29,100,51,68.8,2,63.2,1,86.1,18,95
517,59002,590,3,1,6,1979,84,1986,15,12,19,98,45,23,104,60,71.9,3,65.3,1,91.4,27,81
531,61401,614,1,2,3,1978,122,1986,93,47,42,116,86,45,118,88,107.4,68,99.6,50,112.9,81,96
538,61901,619,3,2,12,1975,103,1986,58,46,48,107,67,49,105,63,98.3,45,107.2,68,87.9,21,123
539,61902,619,3,2,7,1978,107,1986,68,32,34,113,80,45,121,92,89.3,23,-0.3,-3,79.0,8,92
540,61903,619,3,2,3,1980,101,1986,53,15,18,107,68,18,105,64,91.4,27,94.4,34,91.4,27,72
550,62301,623,2,2,12,1979,93,1986,31,13,18,102,56,18,101,52,91.4,27,94.4,34,91.4,27,76
552,62701,627,3,2,8,1976,84,1986,14,29,27,84,15,24,77,6,115.1,84,113.3,81,111.4,77,114
553,62702,627,3,2,12,1979,106,1986,65,19,-3,-3,-3,21,106,65,114.8,84,111.8,79,111.9,79,75
556,63201,632,3,2,3,1978,89,1986,24,22,41,115,84,26,96,39,115.2,84,117.8,88,106.2,66,96
562,63501,635,3,1,8,1979,110,1986,74,25,28,118,88,26,114,83,110.9,77,100.2,50,118.7,90,78
610,69801,698,3,1,2,1977,69,1986,2,16,21,75,5,22,74,4,99.5,50,100.3,50,98.7,47,108
615,70401,704,3,1,8,1980,135,1986,99,28,18,122,93,21,131,98,112.9,81,119.4,90,100.6,53,66
617,70601,706,3,2,5,1976,98,1986,44,42,43,103,59,50,111,76,111.6,79,-0.3,-3,105.0,63,117
618,70602,706,3,2,3,1979,94,1986,34,17,18,92,30,21,95,38,103.1,58,106.0,66,98.2,45,83
622,70801,708,3,1,2,1980,91,1986,28,12,18,107,68,18,105,64,103.1,58,100.2,50,105.0,63,73
642,73901,739,3,1,3,1978,105,1986,62,32,31,107,69,34,109,73,110.4,75,117.1,87,98.6,47,94
654,75501,755,1,2,7,1978,103,1986,57,28,22,97,42,22,91,28,93.2,32,-0.3,-3,98.6,47,90
662,75701,757,2,1,6,1980,102,1986,55,14,18,114,82,18,113,80,86.8,19,84.7,16,93.1,32,69
665,75901,759,2,1,7,1977,82,1986,12,21,23,86,18,41,110,74,88.1,21,93.5,34,86.1,18,103
669,76101,761,3,1,9,1979,104,1986,60,20,21,107,68,20,100,50,110.9,77,111.8,79,105.0,63,79
725,83001,830,2,2,12,1979,98,1986,45,16,20,104,61,20,100,50,95.3,37,94.4,34,98.2,45,77
735,83601,836,1,1,7,1979,101,1986,52,20,23,108,70,27,112,79,87.5,21,100.2,50,77.7,7,80
739,84001,840,2,2,10,1977,87,1986,19,25,20,78,7,25,88,21,72.6,4,63.2,1,92.8,32,101
743,84201,842,3,2,9,1978,112,1986,78,37,22,97,42,27,103,58,90.9,27,110.7,77,72.4,3,90
748,84801,848,3,2,3,1979,118,1986,89,35,41,126,96,35,122,93,95.3,37,94.4,34,98.2,45,82
759,86201,862,3,2,6,1978,119,1986,90,44,42,118,89,31,105,64,130.0,98,129.8,98,118.1,88,92
818,93201,932,3,2,8,1977,105,1986,64,40,-3,-3,-3,55,126,96,111.3,77,117.8,88,99.5,50,103
819,93202,932,3,2,3,1980,98,1986,45,14,18,107,68,18,105,64,99.2,47,100.2,50,98.2,45,72
827,93901,939,3,1,6,1979,88,1986,21,13,18,95,38,18,94,35,99.2,47,94.4,34,105.0,63,82
839,95301,953,3,2,10,1978,106,1986,66,31,22,97,42,23,94,35,110.4,75,98.0,45,118.1,88,91
859,97901,979,3,1,4,1981,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,116.5,87,117.6,88,108.5,73,59
864,98801,988,2,1,5,1975,78,1986,7,35,48,102,55,43,93,32,98.3,45,89.3,23,108.0,70,131
865,99201,992,3,2,2,1977,117,1986,87,49,45,113,80,51,118,88,126.9,96,126.4,96,117.8,88,109
866,99202,992,3,1,10,1979,111,1986,77,23,27,122,93,29,123,94,126.1,96,123.4,94,-0.3,-3,77
