CPUBID,MPUBID,CRACE,CSEX,CMOB,CYRB,MATHZ,year,MATHP,MATH,COMP,COMPZ,COMPP,RECOG,RECOGZ,RECOGP,HOMEZ,HOMEP,COGNZ,COGNP,EMOTZ,EMOTP,AGECH,AFQTP,TNFI,DIVORCE,NUM_CHILDREN
201,2.0,3.0,2.0,3.0,1993.0,102.0,2002.0,54.666666666666664,39.0,32.0,94.33333333333333,37.666666666666664,38.333333333333336,101.66666666666667,55.0,115.33333333333333,83.33333333333333,108.13333333333333,70.33333333333333,117.93333333333334,87.66666666666667,111.0,9.0,50150.0,0.0,2.0
202,2.0,3.0,2.0,11.0,1994.0,102.0,2002.0,54.0,27.0,30.0,109.0,72.0,39.0,116.0,86.0,107.6,70.0,101.2,53.0,112.4,79.0,90.0,9.0,50450.0,0.0,2.0
301,3.0,3.0,2.0,6.0,1981.0,104.33333333333333,1991.3333333333333,61.0,44.333333333333336,45.666666666666664,106.66666666666667,65.33333333333333,46.0,105.0,61.333333333333336,111.0,73.66666666666667,109.3,69.33333333333333,108.13333333333333,69.0,125.66666666666667,46.0,22000.0,0.0,3.0
302,3.0,3.0,2.0,10.0,1983.0,93.0,1993.0,34.5,39.0,43.0,104.0,60.0,49.0,110.5,76.0,106.35,62.0,101.44999999999999,52.5,109.8,73.5,118.5,46.0,17500.0,0.0,3.0
303,3.0,3.0,2.0,4.0,1986.0,78.66666666666667,1996.6666666666667,8.666666666666666,29.0,26.0,74.66666666666667,5.0,28.666666666666668,77.66666666666667,6.666666666666667,108.13333333333333,70.33333333333333,108.8,70.33333333333333,104.2,61.0,130.66666666666666,46.0,57333.333333333336,0.0,3.0
401,4.0,3.0,1.0,8.0,1980.0,97.0,1990.0,41.0,42.0,49.0,110.0,75.0,56.0,118.0,88.0,97.2,42.0,99.7,50.0,95.4,37.0,120.0,48.0,6992.0,0.0,1.0
801,8.0,3.0,2.0,3.0,1976.0,103.33333333333333,1988.0,59.0,53.0,58.0,110.0,72.0,65.33333333333333,116.0,84.33333333333333,113.39999999999999,77.33333333333333,117.26666666666667,84.33333333333333,102.7,56.333333333333336,147.33333333333334,42.0,24200.0,0.3333333333333333,3.0
802,8.0,3.0,1.0,5.0,1979.0,108.25,1989.0,65.75,47.5,43.5,106.0,64.0,48.75,108.0,69.5,107.725,68.5,108.125,69.5,104.175,60.25,120.75,42.0,23350.0,0.25,3.0
803,8.0,3.0,2.0,9.0,1982.0,105.0,1992.0,63.5,40.5,39.0,106.0,60.75,55.75,124.0,92.5,104.57499999999999,61.75,103.55,59.25,103.675,58.5,118.0,42.0,24815.666666666668,0.25,3.0
1001,10.0,3.0,2.0,1.0,1983.0,100.33333333333333,1990.6666666666667,51.333333333333336,29.333333333333332,32.666666666666664,111.0,73.33333333333333,32.333333333333336,108.66666666666667,68.33333333333333,111.83333333333333,77.33333333333333,103.66666666666667,56.666666666666664,116.8,85.66666666666667,98.66666666666667,21.0,41500.0,0.0,2.0
1601,16.0,3.0,1.0,2.0,1990.0,104.75,2001.0,62.75,50.25,60.75,118.75,87.0,66.25,122.0,90.75,113.025,77.25,110.4,72.75,111.125,72.5,136.0,57.0,98146.5,0.0,3.0
1602,16.0,3.0,1.0,8.0,1993.0,100.33333333333333,2004.0,50.666666666666664,45.666666666666664,46.0,101.66666666666667,53.666666666666664,55.333333333333336,109.33333333333333,72.66666666666667,104.7,59.666666666666664,106.89999999999999,66.33333333333333,100.46666666666665,49.666666666666664,129.66666666666666,57.0,117678.66666666667,0.0,3.0
1603,16.0,3.0,2.0,9.0,1996.0,92.2,2006.0,37.4,29.6,37.0,103.2,52.2,51.0,117.2,86.4,98.5,48.0,103.5,57.6,92.53999999999999,34.8,115.6,57.0,107607.2,0.4,3.0
1901,19.0,3.0,2.0,11.0,1987.0,101.0,1994.0,53.0,18.0,20.0,104.0,61.0,35.0,125.0,95.0,91.8,30.0,98.3,45.0,85.7,18.0,80.0,-4.0,6766.0,0.0,1.0
2001,20.0,3.0,2.0,8.0,1990.0,109.75,2001.0,73.0,51.75,64.75,125.0,93.75,70.25,129.25,96.5,121.0,90.75,119.175,89.5,115.425,83.25,132.0,63.0,99100.0,0.0,1.0
2501,25.0,3.0,1.0,10.0,1990.0,112.0,2002.0,77.0,57.666666666666664,55.333333333333336,110.33333333333333,74.33333333333333,65.33333333333333,118.0,88.0,103.60000000000001,59.0,96.06666666666666,40.0,110.63333333333333,73.0,138.66666666666666,57.0,377314.3333333333,0.0,2.0
2502,25.0,3.0,2.0,8.0,1993.0,102.33333333333333,2002.0,55.333333333333336,35.666666666666664,36.0,104.0,58.666666666666664,54.666666666666664,123.66666666666667,91.66666666666667,105.46666666666665,63.666666666666664,101.93333333333334,54.333333333333336,107.13333333333333,68.33333333333333,105.0,57.0,377314.3333333333,0.0,2.0
2701,27.0,3.0,2.0,2.0,1988.0,115.0,1998.0,80.4,50.8,51.0,115.8,84.0,58.2,122.0,90.4,112.52000000000001,80.0,112.6,79.4,107.5,68.4,122.8,97.0,167568.0,0.0,2.0
2702,27.0,3.0,1.0,1.0,1992.0,120.6,2002.0,84.0,54.4,44.4,105.4,63.6,46.6,106.2,66.2,110.16,74.4,110.78,75.4,104.75999999999999,61.6,124.0,97.0,316493.2,0.0,2.0
3501,35.0,3.0,2.0,5.0,1990.0,99.0,1998.0,47.0,29.0,38.0,112.0,78.0,37.0,110.0,75.0,123.5,95.0,120.7,92.0,118.1,88.0,98.0,44.0,56050.0,0.0,2.0
3701,37.0,3.0,2.0,4.0,1990.0,116.5,2000.0,86.5,54.5,56.5,119.5,86.5,65.0,126.5,94.0,100.65,51.0,100.7,51.5,99.4,48.0,123.0,59.0,96550.0,0.0,1.0
4301,43.0,3.0,2.0,10.0,1982.0,96.25,1993.0,40.25,41.75,37.5,92.0,31.5,37.0,90.25,26.5,83.8,21.75,79.325,22.25,94.575,36.5,129.75,13.0,10996.0,0.0,2.0
4302,43.0,3.0,2.0,2.0,1989.0,91.5,2001.0,29.5,46.0,43.0,87.5,22.0,48.5,93.5,33.0,74.8,4.5,69.75,2.5,88.44999999999999,24.5,149.0,13.0,10064.0,0.0,4.0
4303,43.0,3.0,2.0,2.0,1997.0,103.25,2007.0,57.25,45.0,34.25,91.0,31.75,36.5,91.5,28.75,84.025,20.25,83.425,22.25,88.025,23.5,124.75,13.0,4905.0,0.25,4.0
4304,43.0,3.0,2.0,4.0,2000.0,78.66666666666667,2010.6666666666667,8.666666666666666,27.333333333333332,34.0,89.33333333333333,24.0,39.333333333333336,93.0,32.666666666666664,80.96666666666665,13.333333333333334,87.33333333333333,21.0,78.2,17.0,131.33333333333334,13.0,6576.0,0.0,4.0
4401,44.0,3.0,2.0,9.0,1981.0,103.5,1991.0,58.5,45.0,51.5,115.0,81.0,52.0,113.0,80.0,125.44999999999999,95.5,119.65,90.0,122.3,93.5,118.0,37.0,48050.0,0.0,2.0
4402,44.0,3.0,2.0,7.0,1985.0,102.0,1995.3333333333333,55.0,41.666666666666664,60.0,122.33333333333333,89.66666666666667,55.666666666666664,116.33333333333333,85.33333333333333,122.03333333333335,91.0,118.33333333333333,87.66666666666667,117.83333333333333,87.66666666666667,124.0,37.0,48000.0,0.0,2.0
4601,46.0,3.0,2.0,4.0,1994.0,102.5,2003.0,56.0,38.5,33.5,97.0,41.5,36.5,100.0,49.5,102.1,54.0,105.69999999999999,63.5,96.05000000000001,42.0,109.0,63.0,120100.0,0.0,2.0
4602,46.0,3.0,2.0,7.0,1997.0,117.0,2004.0,87.0,37.0,49.0,135.0,99.0,35.0,118.0,89.0,110.6,77.0,113.1,81.0,101.9,55.0,82.0,63.0,120100.0,0.0,2.0
4901,49.0,3.0,1.0,12.0,1982.0,115.75,1993.0,82.75,55.0,54.0,114.0,82.0,52.25,109.5,73.25,116.3,83.0,116.275,81.5,110.05,73.75,127.0,66.0,59529.5,0.0,2.0
