"CASEID","NUMKID86","NUMKID88","NUMKID90","NUMKID92","NUMKID94","NUMKID96","NUMKID98","NUMKID00","NUMKID02","NUMKID04","NUMKID06","NUMKID08","NUMKID10","NUMKID12","NUMKID14"
1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2
3,2,3,3,3,3,3,3,3,3,-5,3,3,-5,3,3
4,1,1,1,1,-5,1,2,-5,-5,-5,-5,-5,-5,-5,-5
5,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6,0,0,0,1,1,2,-5,3,3,3,3,3,3,3,3
7,0,0,1,1,2,2,2,2,2,2,2,2,2,-5,-5
8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
9,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2
10,-5,2,2,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11,-5,-5,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5
12,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
13,0,0,1,2,3,4,4,4,4,4,4,-5,-5,-5,-5
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,1,2,3,4,4,4,4,4,4
16,0,0,1,1,2,2,3,3,3,3,3,3,3,3,3
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3
19,0,1,1,1,1,-5,1,-5,-5,-5,1,-5,1,-5,-5
20,0,0,1,1,1,1,1,1,1,1,1,1,-5,1,1
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
24,0,1,2,2,2,2,2,-5,-5,-5,-5,-5,-5,-5,-5
25,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2
26,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,1,1,-5
27,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2
28,0,0,0,0,0,0,0,0,-5,-5,-5,-5,0,-5,-5
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3
31,0,0,1,1,2,-5,2,2,2,2,2,2,2,2,2
32,0,0,-5,0,0,0,-5,-5,-5,0,0,-5,0,-5,-5
33,-5,-5,-5,0,0,0,-5,-5,-5,-5,0,0,0,0,0
34,0,0,2,3,3,3,3,3,3,3,3,3,3,3,4
35,0,0,1,1,2,2,2,-5,-5,-5,-5,-5,-5,-5,-5
36,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
40,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2
41,0,0,0,0,0,0,-5,0,1,2,2,2,2,2,2
42,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
43,1,1,2,2,2,2,3,4,4,4,4,4,4,4,4
44,2,2,2,2,-5,2,2,2,2,2,2,2,2,2,2
45,0,0,0,0,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
46,0,0,0,0,1,1,2,2,2,2,2,2,-5,-5,-5
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,-5,-5,-5,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
49,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
50,1,2,3,4,5,5,5,5,5,5,5,5,5,5,5
51,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
52,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,2
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1,1,1,1,-5,1,1,1,1,-5,-5,-5,1,-5,1
55,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
56,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
57,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3
58,2,2,3,3,3,3,3,3,-5,3,3,3,3,3,3
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,1,1,2,2,2,2,-5,-5,-5,-5,-5,3,-5
61,0,0,0,0,1,2,2,2,2,3,3,3,3,3,3
62,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3
63,0,-5,-5,-5,1,1,1,1,1,1,1,1,1,1,1
64,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
65,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
66,0,0,0,1,1,2,2,-5,2,2,2,2,2,2,2
67,-5,0,0,0,0,2,-5,-5,2,-5,2,2,2,2,2
68,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3
69,0,-5,-5,-5,1,2,2,2,2,2,2,2,2,2,2
70,0,0,0,0,0,0,0,-5,1,1,-5,1,1,1,1
71,0,0,0,0,-5,0,1,2,-5,-5,-5,-5,3,-5,3
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,-5,-5,0,0,-5,0,0,0,0,0,2,-5,2
74,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
75,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2
76,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,1,2,2,2,3,4,-5,4,4,-5,-5,-5,-5
79,0,0,1,2,3,3,3,3,3,3,-5,-5,-5,-5,-5
80,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0,-5,0,0,-5,-5,-5,1
82,2,2,2,2,2,3,3,3,-5,-5,-5,5,-5,-5,-5
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85,1,1,1,1,1,-5,1,1,1,1,1,1,1,1,1
86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
88,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
89,0,1,1,1,1,1,1,1,1,1,1,1,-5,-5,-5
90,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
91,0,0,0,0,1,1,2,-5,2,2,2,2,2,2,2
92,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
93,0,0,0,1,2,2,2,3,3,3,3,3,3,3,3
94,0,-5,0,0,0,0,-5,0,0,0,0,0,0,0,0
95,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3
96,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3
97,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2
98,0,1,1,2,2,3,3,3,3,3,3,3,3,3,3
99,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2
100,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3
101,2,2,2,2,2,2,2,-5,-5,2,-5,-5,2,-5,-5
102,0,0,0,1,1,1,1,-5,1,1,1,1,1,1,1
103,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2
104,-5,-5,-5,-5,0,0,0,0,-5,-5,-5,-5,-5,-5,-5
105,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,-5
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3
109,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5
110,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
111,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
112,1,1,1,1,1,1,2,-5,2,2,2,2,2,2,2
113,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
114,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
115,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4
