"CASEID","MIGR-1","MIGR-1","MIGR-1","MIGR-1","MIGR-1","MIGR-1","MIGR-1","MIGR-1","MIGR-1","MIGR-1","MIGR-1"
1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,0,0,0,0,0,0,0,0,0,0,0
3,0,1,-5,1,1,-5,1,1,1,1,0
4,-5,-5,-5,-5,-5,-5,-5,-5,1,0,0
5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6,0,0,0,0,0,0,1,0,0,0,0
7,0,1,0,0,1,0,-5,-5,-5,-5,-5
8,1,0,0,0,0,0,0,1,0,0,0
9,0,0,0,1,0,0,0,0,0,-5,0
10,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5
12,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
13,1,1,0,1,-5,-5,-5,-5,-5,-5,-5
14,0,0,0,0,0,0,0,0,0,-5,-5
15,1,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,1,1,0,0
17,0,1,0,1,1,0,0,1,0,0,0
18,0,1,0,0,0,0,0,0,0,0,0
19,-5,-5,-5,1,-5,1,-5,-5,-5,-5,-5
20,0,0,0,0,0,-5,0,0,0,-5,-5
21,0,0,0,0,0,0,0,0,1,0,0
22,0,0,0,0,0,0,1,0,0,-5,0
23,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
24,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
25,0,0,0,0,0,0,0,0,0,0,0
26,-5,-5,-5,-5,-5,1,0,-5,-5,-5,-5
27,0,0,0,0,0,0,0,0,0,0,0
28,1,-5,-5,-5,-5,1,-5,-5,-5,-5,-5
29,1,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,1
31,0,0,0,1,0,1,0,0,0,1,1
32,-5,-5,0,0,-5,0,-5,-5,-5,-5,-5
33,-5,-5,-5,1,0,0,0,0,0,0,0
34,0,0,0,0,0,1,1,0,0,0,0
35,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
36,0,0,0,0,1,0,0,1,0,0,1
37,0,0,0,0,0,1,0,0,0,0,1
38,0,0,0,0,0,0,0,0,0,0,0
39,0,0,1,1,0,0,0,0,0,0,0
40,1,1,1,0,0,0,0,0,0,0,0
41,1,0,1,0,0,0,0,0,0,0,1
42,0,1,0,0,0,0,0,0,0,-5,-5
43,0,0,1,1,0,0,1,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0
45,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
46,0,0,0,0,0,-5,-5,-5,-5,-5,-5
47,0,0,0,0,0,0,1,0,0,0,0
48,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
49,0,1,0,0,0,0,0,0,0,1,0
50,0,0,0,0,0,0,0,0,0,0,0
51,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
52,-5,-5,-5,-5,-5,-5,1,0,0,-5,-5
53,0,0,1,0,0,0,0,0,0,1,0
54,0,0,-5,-5,-5,1,-5,0,0,0,0
55,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
56,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
57,0,1,0,0,0,0,0,0,0,0,0
58,0,-5,0,0,0,0,0,0,0,0,0
