"CASEID","MIGR-3","MIGR-3","MIGR-3","MIGR-3","MIGR-3","MIGR-3","MIGR-3","MIGR-3"
1,-5,-5,-5,-5,-5,-5,-5,-5
2,-4,-4,-4,-4,-4,-4,-4,-4
3,-4,1,-5,0,0,-5,0,0
4,-5,-5,-5,-5,-5,-5,-5,-5
5,-5,-5,-5,-5,-5,-5,-5,-5
6,-4,-4,-4,-4,-4,-4,0,-4
7,-4,0,-4,-4,1,-4,-5,-5
8,1,-4,-4,-4,-4,-4,-4,0
9,-4,-4,-4,0,-4,-4,-4,-4
10,-5,-5,-5,-5,-5,-5,-5,-5
11,-4,-4,-4,-5,-5,-5,-5,-5
12,-5,-5,-5,-5,-5,-5,-5,-5
13,0,0,-4,0,-5,-5,-5,-5
14,-4,-4,-4,-4,-4,-4,-4,-4
15,1,-4,-4,-4,-4,-4,-4,-4
16,-4,-4,-4,-4,-4,-4,-4,1
17,-4,0,-4,1,1,-4,-4,0
18,-4,0,-4,-4,-4,-4,-4,-4
19,-5,-5,-5,1,-5,0,-5,-5
20,-4,-4,-4,-4,-4,-5,-4,-4
21,-4,-4,-4,-4,-4,-4,-4,-4
22,-4,-4,-4,-4,-4,-4,0,-4
23,-5,-5,-5,-5,-5,-5,-5,-5
24,-5,-5,-5,-5,-5,-5,-5,-5
25,-4,-4,-4,-4,-4,-4,-4,-4
26,-5,-5,-5,-5,-5,1,-4,-5
27,-4,-4,-4,-4,-4,-4,-4,-4
28,1,-5,-5,-5,-5,0,-5,-5
29,0,-4,-4,-4,-4,-4,-4,-4
30,-4,-4,-4,-4,-4,-4,-4,-4
31,-4,-4,-4,1,-4,0,-4,-4
32,-5,-5,-4,-4,-5,-4,-5,-5
33,-5,-5,-5,0,-4,-4,-4,-4
34,-4,-4,-4,-4,-4,0,0,-4
35,-5,-5,-5,-5,-5,-5,-5,-5
36,-4,-4,-4,-4,0,-4,-4,0
37,-4,-4,-4,-4,-4,0,-4,-4
38,-4,-4,-4,-4,-4,-4,-4,-4
39,-4,-4,1,1,-4,-4,-4,-4
40,0,1,1,-4,-4,-4,-4,-4
41,0,-4,1,-4,-4,-4,-4,-4
42,-4,1,-4,-4,-4,-4,-4,-4
43,-4,-4,0,0,-4,-4,0,-4
44,-4,-4,-4,-4,-4,-4,-4,-4
45,-5,-5,-5,-5,-5,-5,-5,-5
46,-4,-4,-4,-4,-4,-5,-5,-5
47,-4,-4,-4,-4,-4,-4,1,-4
48,-5,-5,-5,-5,-5,-5,-5,-5
49,-4,0,-4,-4,-4,-4,-4,-4
50,-4,-4,-4,-4,-4,-4,-4,-4
51,-5,-5,-5,-5,-5,-5,-5,-5
52,-5,-5,-5,-5,-5,-5,1,-4
53,-4,-4,1,-4,-4,-4,-4,-4
54,-4,-4,-5,-5,-5,0,-5,-4
55,-5,-5,-5,-5,-5,-5,-5,-5
56,-5,-5,-5,-5,-5,-5,-5,-5
57,-4,0,-4,-4,-4,-4,-4,-4
58,-4,-5,-4,-4,-4,-4,-4,-4
59,-4,-4,-4,-4,-4,-4,-4,-4
60,-4,-5,-5,-5,-5,-5,-4,-5
61,-4,-4,-4,-4,-4,-4,-4,-4
62,-4,0,-4,-4,-4,-4,-4,-4
63,0,-4,-4,0,-4,-4,-4,-4
64,-5,-5,-5,-5,-5,-5,-5,-5
65,-5,-5,-5,-5,-5,-5,-5,-5
66,-5,0,0,0,-4,-4,1,-4
67,-5,-4,-5,0,-4,-4,-4,-4
68,0,-4,-4,-4,-4,-4,-4,-4
69,0,1,-4,-4,-4,-4,1,-4
70,-5,0,-4,-5,-4,0,-4,-4
71,-4,-5,-5,-5,-5,-4,-5,-4
72,0,-4,-4,-4,-4,-4,-4,-4
73,1,-4,1,0,0,0,-5,1
74,-5,-5,-5,-5,-5,-5,-5,-5
75,-4,-4,-4,-4,0,-4,-4,-4
76,-4,-4,0,0,-4,-4,-4,-4
77,0,-4,-4,-4,-4,-4,-4,-4
78,0,-5,0,-4,-5,-5,-5,-5
79,-4,-4,-4,-5,-5,-5,-5,-5
80,-4,-4,-4,-4,-4,-4,-4,-4
81,-4,-5,-4,0,-5,-5,-5,-4
82,-4,-5,-5,-5,-4,-5,-5,-5
83,-4,-4,-4,-4,0,-4,0,-4
84,0,-4,0,-4,0,-4,0,-4
85,-4,-4,-4,-4,0,-4,0,-4
86,0,-4,-4,-4,0,-4,0,-4
87,-4,0,0,1,-4,-4,-4,-4
88,0,0,-4,-4,-4,-4,-4,-4
89,-4,-4,-4,-4,-4,-5,-5,-5
90,-4,-4,-4,-4,-4,-4,-4,-4
91,-5,-4,-4,-4,-4,-4,-4,1
92,-4,-4,-4,-4,-4,-4,-4,0
93,-4,-4,-4,-4,-4,-4,-4,1
94,-4,-4,-4,-4,-4,-4,-4,-4
95,-4,1,-4,-4,-4,-4,-4,1
96,-4,-4,-4,-4,-4,-4,-4,-4
97,-4,-4,-4,-4,-4,-4,-4,-4
98,-4,-4,-4,-4,-4,-4,-4,-4
99,-4,-4,-4,-4,-4,-4,-4,-4
100,-4,-4,-4,0,-4,-4,-4,-4
101,-5,-5,-4,-5,-5,-4,-5,-5
102,-5,-4,-4,-4,-4,-4,-4,-4
103,-4,-4,0,0,-4,1,1,1
104,1,-5,-5,-5,-5,-5,-5,-5
105,0,-5,-4,-4,-4,-4,-4,-5
106,-4,-4,-4,-4,-4,-4,-4,-4
107,-4,-4,-4,-4,-4,-4,-4,-4
108,-4,-4,-4,-4,-4,-4,-4,-4
109,-5,-5,-5,-5,-5,-5,-5,-5
110,-4,-4,-4,-4,-4,-4,-4,-4
111,-4,-4,-4,-4,-4,-4,-4,-4
112,-5,0,1,-4,-4,-4,-4,-4
113,-5,-5,-5,-5,-5,-5,-5,-5
114,-5,-5,-5,-5,-5,-5,-5,-5
115,-5,-5,-5,-5,-5,-5,-5,1
116,-5,-5,-5,-5,-5,-5,-5,-5
117,-4,-4,-4,0,-4,-4,-4,-4
118,-5,-5,-5,-5,-5,-5,-5,-5
119,-4,-4,-4,-4,-4,-4,-4,-4
120,-4,-4,0,-4,-4,-4,-4,-4
121,-4,-4,-4,-4,-4,-4,1,-4
122,-5,1,-4,-4,-4,-4,-4,-4
123,-5,-5,-5,-5,-5,-5,-5,-5
124,0,0,-4,-4,-4,-4,-4,-4
125,1,-4,-5,-5,-5,-5,-5,-5
126,-4,-4,-4,-4,-4,-4,-4,-4
127,-5,-5,-5,-5,-5,-5,-5,-5
128,-4,0,-5,-4,-4,-4,0,-4
129,-4,-4,-4,-4,-4,-4,-4,-4
130,-5,-5,-5,-5,-5,-5,-5,-5
131,-5,-5,-5,-5,-5,-5,-5,-5
132,-5,-5,-5,-5,-5,-5,-5,-5
133,-4,-4,-4,-4,-4,-5,-4,-4
134,-5,-5,-5,-5,-5,-4,-5,-5
135,-4,-4,-4,-5,-4,-4,-4,-4
136,-4,-4,-4,-4,-4,-4,-4,-4
137,-4,-4,0,-4,-4,-4,-4,-4
138,-4,-4,-4,-4,0,-4,-4,-4
139,1,1,0,0,0,0,0,-5
140,-4,-4,0,-4,-4,-4,-4,-4
141,-4,1,-4,-4,-5,0,-4,-4
142,-4,-5,-5,-5,-5,0,-4,-5
143,-5,-5,-4,-4,-4,-4,-5,-5
144,-4,-4,-4,-4,-5,-4,-4,-4
145,0,0,-4,-4,-4,-4,-4,-5
146,-4,1,-4,1,-4,1,-4,-4
147,-4,-4,-4,-4,-4,-4,-4,-4
148,-4,-4,-4,-4,-4,-4,-4,1
149,-4,0,-4,-4,-4,-4,-4,-4
150,-4,-4,-4,-4,-4,-4,-4,-5
151,-5,-5,-5,-5,-5,-5,-5,-5
152,-4,1,0,-4,-4,-4,-4,1
153,-4,0,-4,0,-4,-4,0,1
154,-5,-5,-5,-5,-5,-5,-5,-5
155,0,0,-4,-5,-5,0,0,-5
156,-4,0,-4,0,0,-4,-4,-4
157,-5,-4,-5,-5,-4,0,-4,-4
158,-4,-4,-4,-4,-4,-5,1,-4
159,-4,-5,-5,-5,-5,-5,-5,-5
160,-4,-4,-4,-4,-4,-4,-4,-4
161,-4,-4,-4,-4,-4,-4,-4,1
162,-4,1,-4,-4,-5,-5,-5,-5
163,-5,-5,-5,-5,-5,-5,-5,-5
164,-4,-5,-5,-5,-5,-5,-4,0
165,-4,-4,-4,-4,-4,-4,-4,-4
166,-4,-4,-4,-4,-4,-5,-4,-5
167,-4,-4,-5,-5,-5,-5,-5,-5
168,-5,-5,-5,-5,-5,-4,1,-4
169,-5,-5,-5,-5,-5,-4,-4,-4
170,-4,-5,-5,-5,-5,-5,-5,-5
171,-4,-4,-4,-4,-4,-4,-4,-4
172,-4,0,-4,-4,-4,-4,0,-4
173,-5,-5,-5,-5,-5,-5,-5,-5
174,-4,-4,1,0,-4,-4,-4,1
175,-5,-5,-5,-5,1,0,1,1
176,-5,-5,-5,-5,-5,-5,-5,-5
177,-5,-5,-5,-5,-5,0,-5,-5
178,-4,0,-4,-4,-4,-4,-4,-5
179,-4,1,-4,-4,-4,-4,-4,-4
180,-4,-4,-4,-5,-5,-5,-5,-4
181,-4,1,-4,-4,-4,-4,-4,-4
182,-5,-5,-5,-5,-5,-4,0,-4
183,-4,-4,-4,-4,-4,-4,-5,-5
184,-4,-4,-4,-4,-4,-4,-4,-4
185,-4,-4,-4,-4,-4,-4,-4,-4
186,-4,-4,-4,-4,-4,-4,-4,-4
187,-5,-5,-5,-5,-5,-5,-5,-5
188,-4,0,-4,1,-4,-4,1,-4
189,-4,-4,-4,-4,-4,-4,-4,-4
190,1,-4,-4,-4,-4,-4,-4,-4
191,-4,-4,-4,-4,-4,-4,-4,-4
192,-4,-4,-4,1,-4,-4,-4,-4
193,-4,-4,-4,-4,-4,-4,-4,-4
194,-4,-4,-4,-5,-5,-5,-5,-5
195,0,-4,-4,-4,-4,0,0,-4
196,-4,-4,-4,-5,-5,-5,-5,-5
197,-4,-4,0,-4,-4,-5,0,-4
198,1,0,1,-4,-4,-4,-4,-5
199,-4,-4,0,-4,-4,0,0,-4
200,-4,-4,-4,-4,-4,-4,-4,-4
201,-5,1,-4,-4,-4,-4,-4,-4
202,0,-4,0,-4,-4,0,0,0
203,-5,-5,-5,-5,-5,-5,-5,-5
204,-4,-5,-5,-5,-5,0,-4,-4
205,-4,-4,-4,-4,1,-4,-4,-4
206,-4,-5,-5,-5,-5,-5,-5,-5
207,0,-4,0,0,0,-4,-5,-5
208,-5,-5,-5,-5,-5,-5,-5,-5
209,-4,-5,-5,-5,-5,-5,-5,-5
210,-4,1,-4,-4,-4,-4,-4,-4
211,-4,-4,-4,-4,-4,-4,-4,-4
212,-4,-4,-4,-4,-4,-4,-4,-4
213,-4,1,-4,-4,-4,-5,-5,-5
214,-4,-4,1,1,1,-4,1,-4
215,-5,-5,-5,-5,-5,-5,-5,-5
216,-5,-5,-5,-5,0,-4,-5,-5
217,-5,-5,-5,-5,-5,-5,-5,-5
218,-4,-4,-4,-4,-4,-4,-4,-4
219,-4,-4,-4,-4,-4,-4,-4,-4
220,0,-4,-4,-4,-4,-4,-4,-4
221,-4,-4,-4,-4,-4,1,1,-4
222,-4,-4,-4,0,0,0,0,-4
223,-4,0,-4,1,-4,1,-4,0
224,-4,-4,-4,0,-4,-4,-4,-4
225,-5,-5,-5,-5,-5,-5,-5,-5
226,-5,-5,-5,-5,-5,-5,-5,-5
227,-4,-4,-4,-4,-4,-4,-4,-4
228,1,0,-4,-4,-4,-4,-4,-4
229,-4,-4,-4,-4,-4,-4,-4,-4
230,-4,-4,-4,-4,-4,-4,-4,-4
231,-4,-4,-4,-4,-4,-4,-4,1
232,-4,-4,-4,-4,-4,-4,-4,-5
233,-4,-4,-4,-4,-4,-4,-4,-4
234,-4,-4,-5,1,-4,-4,-4,1
235,-4,-4,-4,-4,-4,-4,1,-4
236,-4,-4,-4,-4,-4,-4,-4,-4
237,-4,-4,1,1,1,1,0,0
238,-5,-5,-5,-5,-5,-5,-5,-5
239,-4,0,-4,0,-4,-4,-4,-4
240,-4,-4,-4,-4,-4,-4,-4,-4
241,-5,-5,-5,-5,-5,-5,-5,-5
242,0,-4,1,1,-4,-4,0,-4
243,1,-4,1,-4,-4,1,1,-4
244,-4,-4,0,-4,-4,-4,-4,-4
245,-4,-4,-4,-4,-4,-4,-4,-4
246,-5,-5,-5,-5,-5,-5,-5,-5
247,-4,-4,-4,-4,-4,0,-4,-4
248,0,-4,1,0,0,0,1,0
249,-4,-4,-4,-4,-4,-4,-4,-4
250,-4,-4,-4,-4,-4,-4,-4,-4
251,-4,-4,1,0,1,1,1,-4
252,-4,0,-4,-4,-4,-4,-4,-4
253,0,0,-4,0,-4,-4,-4,-4
254,-4,1,0,0,-4,-4,-4,0
255,-4,-4,-4,-4,-4,-4,-4,-4
256,-4,1,0,1,-4,-4,1,1
257,0,-4,0,0,1,1,-4,1
258,-4,-4,-4,-4,-4,-4,-4,0
259,-4,-4,0,1,0,-4,-4,0
260,-4,-4,-4,-4,-4,-4,-4,-4
261,0,0,-4,-4,0,-4,-4,-4
262,-5,-5,-5,-5,-5,-5,-5,-5
263,-5,-5,-5,-5,-5,-5,-5,-5
264,-5,-5,-5,-5,-5,-5,-5,-5
265,-4,1,0,-4,-5,-4,0,-4
266,-5,-5,-5,-5,-5,-5,-5,-5
267,-5,-5,-5,-5,-5,-4,-4,-4
268,-5,0,-4,-4,-4,-4,-4,0
269,-4,-4,-4,-4,-4,-4,-4,-4
270,-5,-5,-5,-5,-5,-5,-5,-5
271,-5,-5,-5,-5,-5,-5,-5,-5
272,-4,-4,-4,-4,-4,-4,-4,-4
273,0,-4,-4,-4,-4,-4,-4,-4
274,-4,-4,-4,-4,-4,-4,-4,0
275,-4,-4,-4,-4,-4,-4,0,-4
276,-4,-4,-5,-5,-5,-5,-5,-5
277,-4,-4,-5,0,-4,-4,-4,-4
278,-4,1,-4,-4,-5,-4,-5,-5
279,0,-4,-4,-4,-4,-4,-5,-4
280,-5,-5,-5,-5,-5,-5,-5,-5
281,-4,-4,-4,-4,-4,-4,-4,-4
282,-4,-4,-4,-4,-4,-4,-4,-4
283,-4,-4,0,0,-4,0,0,-4
284,0,-4,-4,-4,-4,-4,1,0
285,1,0,-4,1,0,-4,-4,-4
286,-4,-4,-4,-4,-4,-4,-4,-4
287,-4,-4,-4,-4,-4,-4,-5,-5
288,-4,1,0,-4,-4,-4,-4,-4
289,-4,0,-4,-4,-4,-4,-4,0
