"CPUBID","MPUBID","BKGN-20","BKGN-20","BKGN-20","MS-BKGN-20","MS-BKGN-20","MS-BKGN-20","MS-BKGN-20","MS-BKGN-20"
201,2,1,1,1,1,-7,-7,-7,-7
202,2,1,1,1,1,1,-7,-7,-7
301,3,-7,-7,-7,-7,-7,-7,-7,-7
302,3,-7,-7,-7,-7,-7,-7,-7,-7
303,3,1,-7,-7,-7,-7,-7,-7,-7
401,4,-7,-7,-7,-7,-7,-7,-7,-7
403,4,-7,-7,-7,-7,-7,-7,-7,-7
801,8,-7,-7,-7,-7,-7,-7,-7,-7
802,8,-7,-7,-7,-7,-7,-7,-7,-7
803,8,-7,-7,-7,-7,-7,-7,-7,-7
1001,10,-7,-7,-7,-7,-7,-7,-7,-7
1002,10,-7,-7,-7,-7,-7,-7,-7,-7
1201,12,-7,-7,-7,-7,-7,-7,-7,-7
1202,12,-7,-7,-7,-7,-7,-7,-7,-7
1601,16,3,3,3,-7,-7,-7,-7,-7
1602,16,3,3,3,1,-7,-7,-7,-7
1603,16,-7,3,3,1,3,1,-7,-7
1901,19,-7,-7,-7,-7,-7,-7,-7,-7
2001,20,1,1,1,-7,-7,-7,-7,-7
2501,25,1,1,1,-7,-7,-7,-7,-7
2502,25,1,1,1,1,-7,-7,-7,-7
2701,27,1,1,-7,-7,-7,-7,-7,-7
2702,27,1,1,1,1,-7,-7,-7,-7
3001,30,-7,-7,-7,-7,-7,-7,-7,-7
3002,30,1,-7,-7,-7,-7,-7,-7,-7
3003,30,1,1,1,-7,-7,-7,-7,-7
3501,35,-7,-7,-7,-7,-7,-7,-7,-7
3502,35,-7,-7,-7,-7,-7,-7,-7,-7
3701,37,-7,1,-7,-7,-7,-7,-7,-7
4301,43,-7,-7,-7,-7,-7,-7,-7,-7
4302,43,1,1,-7,-7,-7,-7,-7,-7
4303,43,-7,1,1,1,1,1,-7,-7
4304,43,-7,-7,-7,1,1,1,1,1
4401,44,-7,-7,-7,-7,-7,-7,-7,-7
4402,44,-7,-7,-7,-7,-7,-7,-7,-7
4601,46,-7,1,1,1,1,-7,-7,-7
4602,46,-7,-7,1,1,1,-7,-7,-7
4901,49,-7,-7,-7,-7,-7,-7,-7,-7
4902,49,1,-7,-7,-7,-7,-7,-7,-7
5001,50,-7,-7,-7,-7,-7,-7,-7,-7
5002,50,1,1,-7,-7,-7,-7,-7,-7
5003,50,-7,-7,-7,-7,-7,-7,-7,-7
5004,50,-7,-7,-7,-7,-7,-7,-7,-7
5005,50,1,1,1,1,-7,-7,-7,-7
5701,57,-7,-7,-7,-7,-7,-7,-7,-7
5702,57,-7,1,1,1,1,-7,-7,-7
5703,57,-7,-7,1,1,1,1,1,-7
5801,58,-7,-7,-7,-7,-7,-7,-7,-7
5802,58,-7,-7,-7,-7,-7,-7,-7,-7
5803,58,-7,-7,-7,-7,-7,-7,-7,-7
6101,61,1,1,1,1,-7,-7,-7,-7
6102,61,1,1,1,1,1,-7,-7,-7
6103,61,-7,-7,-7,-7,-7,1,1,1
6201,62,-7,1,1,1,2,1,-7,-7
6202,62,-7,-7,1,1,1,1,1,-7
6203,62,-7,-7,-7,-7,1,1,1,1
6801,68,1,1,1,1,-7,-7,-7,-7
6802,68,-7,1,1,1,1,-7,-7,-7
6803,68,-7,1,1,1,1,1,-7,-7
7501,75,-7,-7,1,1,1,-7,-7,-7
7502,75,-7,-7,1,1,1,1,-7,-7
7801,78,1,-7,-7,-7,-7,-7,-7,-7
7802,78,1,-7,1,1,-7,-7,-7,-7
7803,78,-7,-7,1,1,-7,-7,-7,-7
7804,78,-7,-7,-7,1,-7,-7,-7,-7
8601,86,-7,-7,-7,-7,-7,-7,-7,-7
8901,89,-7,-7,-7,-7,-7,-7,-7,-7
9101,91,-7,1,1,1,1,-7,-7,-7
9102,91,-7,1,1,1,1,1,-7,-7
9201,92,-7,-7,-7,-7,-7,-7,-7,-7
9202,92,1,1,-7,3,-7,-7,-7,-7
9501,95,-7,-7,-7,-7,-7,-7,-7,-7
9502,95,-7,-7,-7,-7,-7,-7,-7,-7
9503,95,-7,1,-7,-7,-7,-7,-7,-7
9601,96,-7,-7,-7,-7,-7,-7,-7,-7
9602,96,1,-7,-7,-7,-7,-7,-7,-7
9603,96,-7,-7,1,1,1,1,9,-7
9701,97,1,-7,-7,-7,-7,-7,-7,-7
9702,97,1,1,-7,-7,-7,-7,-7,-7
